freq,mag,phase
1.00E+08,2.00E+01,-3.60E-02
1.05E+08,2.00E+01,-3.77E-01
1.10E+08,2.00E+01,-3.94E-01
1.15E+08,2.00E+01,-4.13E-01
1.20E+08,2.00E+01,-4.32E-01
1.26E+08,2.00E+01,-4.53E-01
1.32E+08,2.00E+01,-4.74E-01
1.38E+08,2.00E+01,-4.96E-01
1.45E+08,2.00E+01,-5.20E-01
1.51E+08,2.00E+01,-5.44E-01
1.58E+08,2.00E+01,-5.70E-01
1.66E+08,2.00E+01,-5.97E-01
1.74E+08,2.00E+01,-6.25E-01
1.82E+08,2.00E+01,-6.54E-01
1.91E+08,2.00E+01,-6.85E-01
2.00E+08,2.00E+01,-7.18E-01
2.09E+08,2.00E+01,-7.51E-01
2.19E+08,2.00E+01,-7.87E-01
2.29E+08,2.00E+01,-8.24E-01
2.40E+08,2.00E+01,-8.63E-01
2.51E+08,2.00E+01,-9.03E-01
2.63E+08,2.00E+01,-9.46E-01
2.75E+08,2.00E+01,-9.90E-01
2.88E+08,2.00E+01,-1.04E+00
3.02E+08,2.00E+01,-1.09E+00
3.16E+08,2.00E+01,-1.14E+00
3.31E+08,2.00E+01,-1.19E+00
3.47E+08,2.00E+01,-1.25E+00
3.63E+08,2.00E+01,-1.31E+00
3.80E+08,2.00E+01,-1.37E+00
3.98E+08,2.00E+01,-1.43E+00
4.17E+08,2.00E+01,-1.50E+00
4.37E+08,2.00E+01,-1.57E+00
4.57E+08,2.00E+01,-1.64E+00
4.79E+08,2.00E+01,-1.72E+00
5.01E+08,2.00E+01,-1.80E+00
5.25E+08,2.00E+01,-1.89E+00
5.50E+08,2.00E+01,-1.98E+00
5.75E+08,2.00E+01,-2.07E+00
6.03E+08,2.00E+01,-2.17E+00
6.31E+08,2.00E+01,-2.27E+00
6.61E+08,2.00E+01,-2.37E+00
6.92E+08,2.00E+01,-2.49E+00
7.24E+08,2.00E+01,-2.60E+00
7.59E+08,2.00E+01,-2.73E+00
7.94E+08,2.00E+01,-2.85E+00
8.32E+08,2.00E+01,-2.99E+00
8.71E+08,2.00E+01,-3.13E+00
9.12E+08,2.00E+01,-3.28E+00
9.55E+08,2.00E+01,-3.43E+00
1.00E+09,2.00E+01,-3.59E+00
1.05E+09,2.00E+01,-3.76E+00
1.10E+09,2.00E+01,-3.94E+00
1.15E+09,2.00E+01,-4.12E+00
1.20E+09,2.00E+01,-4.32E+00
1.26E+09,2.00E+01,-4.52E+00
1.32E+09,2.00E+01,-4.73E+00
1.38E+09,2.00E+01,-4.95E+00
1.45E+09,2.00E+01,-5.18E+00
1.51E+09,2.00E+01,-5.43E+00
1.58E+09,1.99E+01,-5.68E+00
1.66E+09,1.99E+01,-5.95E+00
1.74E+09,1.99E+01,-6.23E+00
1.82E+09,1.99E+01,-6.52E+00
1.91E+09,1.99E+01,-6.82E+00
2.00E+09,1.99E+01,-7.14E+00
2.09E+09,1.99E+01,-7.47E+00
2.19E+09,1.99E+01,-7.82E+00
2.29E+09,1.99E+01,-8.18E+00
2.40E+09,1.99E+01,-8.56E+00
2.51E+09,1.99E+01,-8.96E+00
2.63E+09,1.99E+01,-9.37E+00
2.75E+09,1.99E+01,-9.81E+00
2.88E+09,1.99E+01,-1.03E+01
3.02E+09,1.98E+01,-1.07E+01
3.16E+09,1.98E+01,-1.12E+01
3.31E+09,1.98E+01,-1.17E+01
3.47E+09,1.98E+01,-1.23E+01
3.63E+09,1.98E+01,-1.28E+01
3.80E+09,1.98E+01,-1.34E+01
3.98E+09,1.97E+01,-1.40E+01
4.17E+09,1.97E+01,-1.47E+01
4.37E+09,1.97E+01,-1.53E+01
4.57E+09,1.96E+01,-1.60E+01
4.79E+09,1.96E+01,-1.67E+01
5.01E+09,1.96E+01,-1.75E+01
5.25E+09,1.95E+01,-1.82E+01
5.50E+09,1.95E+01,-1.90E+01
5.75E+09,1.95E+01,-1.99E+01
6.03E+09,1.94E+01,-2.07E+01
6.31E+09,1.94E+01,-2.16E+01
6.61E+09,1.93E+01,-2.25E+01
6.92E+09,1.92E+01,-2.35E+01
7.24E+09,1.92E+01,-2.45E+01
7.59E+09,1.91E+01,-2.55E+01
7.94E+09,1.90E+01,-2.65E+01
8.32E+09,1.89E+01,-2.76E+01
8.71E+09,1.89E+01,-2.87E+01
9.12E+09,1.88E+01,-2.98E+01
9.55E+09,1.87E+01,-3.09E+01
1.00E+10,1.85E+01,-3.21E+01
1.05E+10,1.84E+01,-3.33E+01
1.10E+10,1.83E+01,-3.45E+01
1.15E+10,1.82E+01,-3.58E+01
1.20E+10,1.80E+01,-3.70E+01
1.26E+10,1.79E+01,-3.83E+01
1.32E+10,1.77E+01,-3.96E+01
1.38E+10,1.76E+01,-4.09E+01
1.45E+10,1.74E+01,-4.22E+01
1.51E+10,1.72E+01,-4.35E+01
1.58E+10,1.70E+01,-4.49E+01
1.66E+10,1.68E+01,-4.62E+01
1.74E+10,1.66E+01,-4.75E+01
1.82E+10,1.64E+01,-4.88E+01
1.91E+10,1.61E+01,-5.01E+01
2.00E+10,1.59E+01,-5.14E+01
2.09E+10,1.56E+01,-5.27E+01
2.19E+10,1.54E+01,-5.39E+01
2.29E+10,1.51E+01,-5.52E+01
2.40E+10,1.48E+01,-5.64E+01
2.51E+10,1.46E+01,-5.76E+01
2.63E+10,1.43E+01,-5.88E+01
2.75E+10,1.40E+01,-6.00E+01
2.88E+10,1.37E+01,-6.11E+01
3.02E+10,1.34E+01,-6.22E+01
3.16E+10,1.31E+01,-6.33E+01
3.31E+10,1.27E+01,-6.43E+01
3.47E+10,1.24E+01,-6.53E+01
3.63E+10,1.21E+01,-6.63E+01
3.80E+10,1.17E+01,-6.73E+01
3.98E+10,1.14E+01,-6.82E+01
4.17E+10,1.10E+01,-6.91E+01
4.37E+10,1.07E+01,-6.99E+01
4.57E+10,1.03E+01,-7.08E+01
4.79E+10,9.98E+00,-7.16E+01
5.01E+10,9.62E+00,-7.24E+01
5.25E+10,9.25E+00,-7.31E+01
5.50E+10,8.89E+00,-7.38E+01
5.75E+10,8.52E+00,-7.45E+01
6.03E+10,8.14E+00,-7.52E+01
6.31E+10,7.77E+00,-7.58E+01
6.61E+10,7.39E+00,-7.64E+01
6.92E+10,7.01E+00,-7.70E+01
7.24E+10,6.63E+00,-7.76E+01
7.59E+10,6.25E+00,-7.81E+01
7.94E+10,5.87E+00,-7.87E+01
8.32E+10,5.48E+00,-7.92E+01
8.71E+10,5.09E+00,-7.96E+01
9.12E+10,4.71E+00,-8.01E+01
9.55E+10,4.32E+00,-8.05E+01
1.00E+11,3.93E+00,-8.09E+01
1.05E+11,3.54E+00,-8.13E+01
1.10E+11,3.15E+00,-8.17E+01
1.15E+11,2.75E+00,-8.21E+01
1.20E+11,2.36E+00,-8.25E+01
1.26E+11,1.97E+00,-8.28E+01
1.32E+11,1.57E+00,-8.31E+01
1.38E+11,1.18E+00,-8.34E+01
1.45E+11,7.84E-01,-8.37E+01
1.51E+11,3.89E-01,-8.40E+01
1.58E+11,-7.26E-03,-8.43E+01
1.66E+11,-4.03E-01,-8.45E+01
1.74E+11,-8.00E-01,-8.48E+01
1.82E+11,-1.20E+00,-8.50E+01
1.91E+11,-1.59E+00,-8.52E+01
2.00E+11,-1.99E+00,-8.54E+01
2.09E+11,-2.39E+00,-8.56E+01
2.19E+11,-2.79E+00,-8.58E+01
2.29E+11,-3.18E+00,-8.60E+01
2.40E+11,-3.58E+00,-8.62E+01
2.51E+11,-3.98E+00,-8.64E+01
2.63E+11,-4.38E+00,-8.65E+01
2.75E+11,-4.78E+00,-8.67E+01
2.88E+11,-5.18E+00,-8.68E+01
3.02E+11,-5.58E+00,-8.70E+01
3.16E+11,-5.97E+00,-8.71E+01
3.31E+11,-6.37E+00,-8.72E+01
3.47E+11,-6.77E+00,-8.74E+01
3.63E+11,-7.17E+00,-8.75E+01
3.80E+11,-7.57E+00,-8.76E+01
3.98E+11,-7.97E+00,-8.77E+01
4.17E+11,-8.37E+00,-8.78E+01
4.37E+11,-8.77E+00,-8.79E+01
4.57E+11,-9.17E+00,-8.80E+01
4.79E+11,-9.57E+00,-8.81E+01
5.01E+11,-9.97E+00,-8.82E+01
5.25E+11,-1.04E+01,-8.83E+01
5.50E+11,-1.08E+01,-8.83E+01
5.75E+11,-1.12E+01,-8.84E+01
6.03E+11,-1.16E+01,-8.85E+01
6.31E+11,-1.20E+01,-8.86E+01
6.61E+11,-1.24E+01,-8.86E+01
6.92E+11,-1.28E+01,-8.87E+01
7.24E+11,-1.32E+01,-8.87E+01
7.59E+11,-1.36E+01,-8.88E+01
7.94E+11,-1.40E+01,-8.89E+01
8.32E+11,-1.44E+01,-8.89E+01
8.71E+11,-1.48E+01,-8.90E+01
9.12E+11,-1.52E+01,-8.90E+01
9.55E+11,-1.56E+01,-8.90E+01
1.00E+12,-1.60E+01,-8.91E+01
